legs,socks,foot,arms,torso,tattoo,pants,shirt,head,face,eyes,hat,acc,logo,name,image,item,nude,no shirt,no pants,horned
sky,none,none,sky,forest,2 skull DL,none,none,forest,toothy,blue goat,blue ramone,none,none,Nude Bro,deemanz1.png,1,nude,no shirt,no pants,no horns
night,red & black stripes,onyx hightops,night,flame,2 skull DL,none,none,flame,jagged,orange cat,orange bowler,gold shades dark eye medalion,none,Nude Bruh,deemanz2.png,2,nude,no shirt,no pants,no horns
sky,none,black sneakers,sky,sky,Dark Lord,blue camouflage sweats,blue sleeveless,sky,toothy,blue cat,ice horns,gold earrings skull medalion,dead,Bue Gobble,deemanz3.png,3,clothed,shirt,pants,horned
flame,white,red chucks,flame,flame,Dark Lord,red jeans,red hoodie,flame,jagged,red round,red flat top,dark/gold earrings eye medalion,DL Rap,Red Firetooth,deemanz4.png,4,clothed,shirt,pants,no horns
forest,none,green chucks,forest,forest,Eye,orange stars 80s shorts,none,forest,zombie,green long,green flat top,dark shades,none,Green Firefist,deemanz5.png,5,clothed,no shirt,pants,no horns
night,none,purple chucks,night,night,Dead skulls & DL,violet triangles shorts,violet 80s tris long,night,gator,yellow bean,violet triple hawk,gold skull medalion,none,Purple Claw,deemanz6.png,6,clothed,shirt,pants,no horns
night,white,bees hightops,night,sky,DL & skull,red tights,none,sky,frog,yellow bean,red ball cap,dark skull medalion,none,Red Warfire,deemanz7.png,7,clothed,no shirt,pants,no horns
flame,red,autumn hightops,flame,night,Dead skulls & DL,yellow tights,none,night,gator,yellow goat,yellow bowler,dark skull medalion,none,Yellow Fire,deemanz8.png,8,clothed,no shirt,pants,no horns
forest,none,green chucks,forest,flame,Dead skulls,red tights,blue tank,flame,toothy,yellow bean,skull,gold skull medalion,none,Bash Firefist,deemanz9.png,9,clothed,shirt,pants,no horns
sky,none,purple chucks,sky,flame,Dead skulls & DL,violet triangles shorts,red 80s glyph long,flame,gator,blue goat,black bowler,bronze round shades,none,Sharp War,deemanz10.png,10,clothed,shirt,pants,no horns
night,none,green chucks,forest,night,Dead skulls,yellow camouflage baggies,yellow sleeveless,night,gator,yellow black frog,red ball cap,gold round shades,none,Clobber Destroy,deemanz11.png,11,clothed,shirt,pants,no horns
flame,red & black stripes,violet sneakers,night,night,2 skull DL,blue camouflage sweats,magenta dash t,night,zombie,red round,red ball cap,bronze round shades,none,Slash War,deemanz12.png,12,clothed,shirt,pants,no horns
night,none,orange sneakers,forest,flame,DL & skulls,red jeans,yellow t red long,flame,zombie,purple bean,horned skull,double dark earrings,none,Tear Warfire,deemanz13.png,13,clothed,shirt,pants,no horns
flame,none,purple chucks,flame,sky,DL & skull,black stars shorts,red sleeveless,sky,frog,red round,black ball cap,dark shades,DL Alt,Torn Render,deemanz14.png,14,clothed,shirt,pants,no horns
flame,none,black sneakers,forest,flame,Dead skulls & DL,yellow camouflage baggies,red camouflage hoodie,flame,jagged,green long,black bowler,red eye patch,none,Clobber Fist,deemanz15.png,15,clothed,shirt,pants,no horns
flame,none,red chucks,flame,flame,Eye DL,blue camouflage sweats,red dashes t,flame,zombie,blue goat,red mohawk,gold shades,none,Gnash Gobbled,deemanz16.png,16,clothed,shirt,pants,no horns
sky,black,red cowboys,sky,forest,DL & skull,yellow camouflage baggies,yellow 80s glyph long,forest,zombie,pink bean,black ball cap,red eye patch,none,Bloody Thunderclaw,deemanz17.png,17,clothed,shirt,pants,no horns
night,white & red stripes,red cowboys,flame,flame,Dead skulls,orange stars 80s shorts,red t yellow long,flame,zombie,green goat,black bowler,gold earrings skull medalion,DL Block,Grind Doom,deemanz18.png,18,clothed,shirt,pants,no horns
sky,black & red stripes,red chucks,night,flame,Dead skulls,yellow puffs shorts,red tank,flame,toothy,violet goat,black bowler,dark skull medalion,none,Grind Render,deemanz19.png,19,clothed,shirt,pants,no horns
sky,black,green chucks,forest,forest,DL & skull,yellow puffs shorts,blue sleeveless,forest,zombie,pink goat,black bowler,gold skull medalion,none,Gnash Firetooth,deemanz20.png,20,clothed,shirt,pants,no horns
sky,red,violet sneakers,night,flame,2 skull DL,blue argyle pants,yellow sleeveless,flame,gator,pink bean,violet ball cap,gold eye medalion,none,Grind Firefang,deemanz21.png,21,clothed,shirt,pants,no horns
forest,white & red stripes,bees hightops,forest,forest,DL & skulls,yellow stars 80s shorts,blue sleeveless,forest,toothy,purple bean,violet ball cap,gold dark eye medalion,none,Chop Horned,deemanz22.png,22,clothed,shirt,pants,no horns
forest,none,orange sneakers,night,sky,2 skull DL,dark sweats,dark hoodie,sky,toothy,violet goat,yellow triple hawk,double gold earrings,none,Bite Fanged,deemanz23.png,23,clothed,shirt,pants,no horns
flame,none,bees hightops,flame,flame,Dark Lord,yellow puffs sweats,yellow tank,flame,frog,black white long,yellow bowler,dark stud earrings,DL Comic 1,Spike Sunder,deemanz24.png,24,clothed,shirt,pants,no horns
